Card Name,Description,Strength,Hostage Bonus,Penality
S.H.I.L.D,"This card can never be a hostage. At the end of the battle, return it to the bottom of the hero's deck",4,"When you defeat this, gain a Medium Support Card (+3)",Discard a Secret Plan
Luke Skywalker,Has strength 12 when battling Palpatine,10,While you control this +2 Lair deffence,Take a wound token
Leia,"When this is reveled, if Luke is in the Hero's deck, search for it and add him to this raid",4,"When you defeat this, if no player controls the Death Star, you may search for it on the discard pile or market deck and pay its cost to add it to your lair",Discard 3 Gold
Han solo,Heavy Support Cards (+3) have strength 0 during this battle,5,While you control this gain 2 Gold at the start of the production phase,Discard 5 Gold
Chewbacca,"When this is reveled, if Han solo is in the Hero's deck, search for it and add him to this raid",5,While you control this gain 2 Evilness at the start of the production phase,Discard 5 Evilness
R2-D2,"When this is revealed, draw an addition heros card in front of every player, including you.",1,"When this is defeated, Gain a Healing Kit",Dicard 3 Gold
Master Yoda,"This card can never be a hostage. At the end of the battle, return it to the bottom of the hero's deck",10,"When you defeat this, gain Two Medium Support Card (+3)",Return an item to the Deck
Clone Army,"This card can never be a hostage. At the end of the battle, return it to the bottom of the hero's deck",5,"When you defeat this, gain a secret plan.",Discard 3 Evilness
Frodo,Can not be deffeted by Sauron,4,"At the Special powers phase, this can be placed in front of other villains. (You lose control of this hostage)",Take a wound token
Sam Weisley,"When this is reveled, if Frodo is in the Hero's deck, search for it and add him to this raid",4,"When you defeat this, gain 5 Evilness",Move one place down on the evilmeter
Legolas,"When the battle starts, you must discard 5 evilness. If you have 4 or less evilness on your hand, discard all your evilness and imidiatly lose this battle.",8,"At the end of the game, this is worth 3 Victory Points",Move one place down on the evilmeter
Aragon,"When the battle starts, you must discard 5 Gold. If you have 4 or less evilness on your hand, discard all your gold and imidiatly lose this battle.",6,"At the end of the game, this is worth 2 Victory Points",Return one hostage you control to the hero's deck
Arwin,"When this is reveled, search for The Riders of Rohan cards on the hero's deck and place one in front of ever villain that does not have a The Riders of Rohan card in front of them, including you.",5,While you control this gain a medium support card (+2) at the start of production,Return one hostage you control to the hero's deck
Gandalf,"This card can never be a hostage. At the end of the battle, return it to the bottom of the hero's deck",10,"When you defeat this, gain a Healing Kit",Return a Special Item to the Deck
The Riders of Rohan,"This card can never be a hostage. At the end of the battle, return it to the bottom of the hero's deck",5,"When you defeat this, gain a Medium Support Card (+3)",Return a Hostage to the Hero's deck
Gotham Police,"This card can never be a hostage. At the end of the battle, return it to the bottom of the hero's deck",3,Gain 3 Gold,Discard 3 Gold
Gotham Police,"This card can never be a hostage. At the end of the battle, return it to the bottom of the hero's deck",3,Gain 3 Gold,Discard 3 Gold
Magical Law Enforcemen,"This card can never be a hostage. At the end of the battle, return it to the bottom of the hero's deck",4,"When you defeat this, Gain 3 Evilness",Discard 3 Evilness
Magical Law Enforcemen,"This card can never be a hostage. At the end of the battle, return it to the bottom of the hero's deck",4,"When you defeat this, Gain 3 Evilness",Discard 3 Evilness
Toad,"This card can never be a hostage. At the end of the battle, return it to the bottom of the hero's deck",3,"When you defeat this, Gain 2 Gold",Discard 3 Gold
Toad,"This card can never be a hostage. At the end of the battle, return it to the bottom of the hero's deck",3,"When you defeat this, Gain 2 Gold",Discard 3 Gold
S.H.I.L.D,"This card can never be a hostage. At the end of the battle, return it to the bottom of the hero's deck",4,"When you defeat this, gain a Medium Support Card (+3)",Discard a Secret Plan
S.H.I.L.D,"This card can never be a hostage. At the end of the battle, return it to the bottom of the hero's deck",4,"When you defeat this, gain a Medium Support Card (+3)",Discard a Secret Plan
S.H.I.L.D,"This card can never be a hostage. At the end of the battle, return it to the bottom of the hero's deck",4,"When you defeat this, gain a Medium Support Card (+3)",Discard a Secret Plan
S.H.I.L.D,"This card can never be a hostage. At the end of the battle, return it to the bottom of the hero's deck",4,"When you defeat this, gain a Medium Support Card (+3)",Discard a Secret Plan
S.H.I.L.D,"This card can never be a hostage. At the end of the battle, return it to the bottom of the hero's deck",4,"When you defeat this, gain a Medium Support Card (+3)",Discard a Secret Plan
Clone Army,"This card can never be a hostage. At the end of the battle, return it to the bottom of the hero's deck",5,"When you defeat this, gain a secret plan.",Discard 3 Evilness
Clone Army,"This card can never be a hostage. At the end of the battle, return it to the bottom of the hero's deck",5,"When you defeat this, gain a secret plan.",Discard 3 Evilness
The Riders of Rohan,"This card can never be a hostage. At the end of the battle, return it to the bottom of the hero's deck",5,"When you defeat this, gain a Medium Support Card (+3)",Return a Hostage to the Hero's deck
The Riders of Rohan,"This card can never be a hostage. At the end of the battle, return it to the bottom of the hero's deck",5,"When you defeat this, gain a Medium Support Card (+3)",Return a Hostage to the Hero's deck
The Riders of Rohan,"This card can never be a hostage. At the end of the battle, return it to the bottom of the hero's deck",5,"When you defeat this, gain a Medium Support Card (+3)",Return a Hostage to the Hero's deck
The Riders of Rohan,"This card can never be a hostage. At the end of the battle, return it to the bottom of the hero's deck",5,"When you defeat this, gain a Medium Support Card (+3)",Return a Hostage to the Hero's deck
The Riders of Rohan,"This card can never be a hostage. At the end of the battle, return it to the bottom of the hero's deck",5,"When you defeat this, gain a Medium Support Card (+3)",Return a Hostage to the Hero's deck
